Name,Import
Accessible-height toilet,"import { PiToilet } from 'react-icons/pi';"
Disabled parking spot,"import { PiToilet } from 'react-icons/pi';"
Grab-rails for shower and toilet,"import { MdDragHandle } from 'react-icons/md';"
Grab-rails in toilet,"import { MdDragHandle } from 'react-icons/md';"
Path to entrance lit at night,"import { MdWbTwilight } from 'react-icons/md';"
Roll-in shower with shower bench or chair,"import { PiChairLight from 'react-icons/pi';"
Shower bench,"import { PiChairLight } from 'react-icons/pi';"
Shower chair,"import { PiChairLight } from 'react-icons/pi';"
Single level home,"import { LiaLevelUpAltSolid } from 'react-icons/lia';"
Step-free access,"import { IoFootstepsOutline } from 'react-icons/io5';"
Tub with shower bench,"import { PiChairLight } from 'react-icons/pi';"
Wheelchair accessible,"import { PiWheelchair } from 'react-icons/pi';"
Wide clearance to bed,"import { IoBedOutline } from 'react-icons/io5';"
Wide clearance to shower and toilet,"import { TbViewportWide } from 'react-icons/tb';"
Wide doorway,"import { TbViewportWide } from 'react-icons/tb';"
Wide hallway clearance,"import { TbViewportWide } from 'react-icons/tb';"
Body soap,"import { FaSoap } from 'react-icons/fa';"
Cleaning products,"import { GiSoapExperiment } from 'react-icons/gi';"
Conditioner,"import { PiHandSoapBold } from 'react-icons/pi';"
Hot water,"import { IoWaterOutline } from 'react-icons/io5';"
Shampoo,"import { PiHandSoapBold } from 'react-icons/pi';"
Shower gel,"import { PiHandSoapBold } from 'react-icons/pi';"
Towels provided,"import { MdOutlineDryCleaning } from 'react-icons/md';"
Clothing storage,"import { BiCloset } from 'react-icons/bi';"
Coin Laundry,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Dryer in common space,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Mosquito net,"import { MdOutlineTexture } from 'react-icons/md';"
Washer in common space,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Dvd player,"import { IoTvOutline } from 'react-icons/io5';"
Foosball table,"import { IoIosFootball } from 'react-icons/io';"
Game room,"import { PiGameController } from 'react-icons/pi';"
Piano,"import { VscPiano } from 'react-icons/vsc';"
Ping pong table,"import { PiPingPongLight } from 'react-icons/pi';"
Pool table,"import { GiPoolTableCorner } from 'react-icons/gi';"
Sound system,"import { GiSoundWaves } from 'react-icons/gi';"
Baby bath,"import { PiBaby } from 'react-icons/pi';"
Baby monitor,"import { PiBaby } from 'react-icons/pi';"
Babysitter recommendations,"import { PiBaby } from 'react-icons/pi';"
Bathtub,"import { PiBathtub } from 'react-icons/pi';"
Board games,"import { FaChessBoard } from 'react-icons/fa';"
Changing table,"import { MdOutlineBabyChangingStation } from 'react-icons/md';"
Children’s books and toys,"import { IoBookOutline } from 'react-icons/io5';"
Children’s dinnerware,"import { FaChildReaching } from 'react-icons/fa6';"
Crib,"import { MdOutlineCrib } from 'react-icons/md';"
Family/kid friendly,"import { FaChildReaching } from 'react-icons/fa6';"
Fireplace guards,"import { GiFireplace } from 'react-icons/gi';"
Game console,"import { GiConsoleController } from 'react-icons/gi';"
High chair,"import { TbChairDirector } from 'react-icons/tb';"
Outlet covers,"import { TbOutlet } from 'react-icons/tb';"
Pack ’n Play/travel crib,"import { MdOutlineCrib } from 'react-icons/md';"
Room-darkening shades,"import { MdOutlineRollerShadesClosed } from 'react-icons/md';"
Stair gates,"import { AiOutlineGateway } from 'react-icons/ai';"
Table corner guards,"import { MdRoundedCorner } from 'react-icons/md';"
Window guards,"import { MdRoundedCorner } from 'react-icons/md';"
Portable fans,"import { PiFanLight } from 'react-icons/pi';"
Carbon monoxide detector,"import { MdAddAlarm } from 'react-icons/md';"
Emergency exit,"import { IoMdExit } from 'react-icons/io';"
Fire extinguisher,"import { PiFireExtinguisher } from 'react-icons/pi';"
First aid kit,"import { BiFirstAid } from 'react-icons/bi';"
Smoke detector,"import { MdAddAlarm } from 'react-icons/md';"
Baking sheet,"import { MdOutlineBakeryDining } from 'react-icons/md';"
Barbeque utensils,"import { LuUtensils } from 'react-icons/lu';"
Blender,"import { MdOutlineBlender } from 'react-icons/md';"
Breakfast,"import { MdOutlineFreeBreakfast } from 'react-icons/md';"
Coffee,"import { LuCoffee } from 'react-icons/lu';"
Coffee maker,"import { MdOutlineCoffeeMaker } from 'react-icons/md';"
Cookware,"import { PiCookingPot } from 'react-icons/pi';"
Dining table,"import { PiPicnicTableLight } from 'react-icons/pi';"
Dishes and silverware,"import { LiaUtensilsSolid } from 'react-icons/lia';"
Dishwasher,"import { BiSolidWasher } from 'react-icons/bi';"
Freezer,"import { TbFreezeRowColumn } from 'react-icons/tb';"
Ice maker,"import { CiVoicemail } from 'react-icons/ci';"
Kettle,"import { GiCoffeePot } from 'react-icons/gi';"
Microwave,"import { LuMicrowave } from 'react-icons/lu';"
Mini fridge,"import { BiFridge } from 'react-icons/bi';"
Oven,"import { PiOven } from 'react-icons/pi';"
Refrigerator,"import { RiFridgeLine } from 'react-icons/ri';"
Rice maker,"import { FaBowlRice } from 'react-icons/fa6';"
Stove,"import { PiOven } from 'react-icons/pi';"
Toaster,"import { GrToast } from 'react-icons/gr';"
Trash compactor,"import { FaRegTrashAlt } from 'react-icons/fa';"
Wine glasses,"import { PiWineDuotone } from 'react-icons/pi';"
Beach,"import { FaUmbrellaBeach } from 'react-icons/fa6';"
Beach Front,"import { FaUmbrellaBeach } from 'react-icons/fa6';"
Beach View,"import { FaWater } from 'react-icons/fa';"
Beach access,"import { FaUmbrellaBeach } from 'react-icons/fa6';"
City View,"import { GiModernCity } from 'react-icons/gi';"
Desert View,"import { MdLandscape } from 'react-icons/md';"
Downtown,"import { MdLocationCity } from 'react-icons/md';"
Garden View,"import { BsFlower1 } from 'react-icons/bs';"
Golf course front,"import { IoGolfOutline } from 'react-icons/io5';"
Golf view,"import { IoGolfOutline } from 'react-icons/io5';"
Lake,"import { FaWater } from 'react-icons/fa6';"
Lake Front,"import { FaWater } from 'react-icons/fa6';"
Lake access,"import { FaWater } from 'react-icons/fa6';"
Laundromat nearby,"import { MdOutlineLocalLaundryService } from 'react-icons/md';"
Mountain,"import { MdOutlineLandscape } from 'react-icons/md';"
Mountain view,"import { MdOutlineLandscape } from 'react-icons/md';"
Near Ocean,"import { BsWater } from 'react-icons/bs';"
Ocean Front,"import { BsWater } from 'react-icons/bs';"
Resort,"import { LuBuilding2 } from 'react-icons/lu';"
Resort access,"import { LuBuilding2 } from 'react-icons/lu';"
Rural,"import { MdOutlineLandscape } from 'react-icons/md';"
Sea view,"import { BsWater } from 'react-icons/bs';"
Ski In,"import { FaSkiing } from 'react-icons/fa';"
Ski Out,"import { FaSkiing } from 'react-icons/fa';"
Ski in/Ski out,"import { FaSkiing } from 'react-icons/fa';"
Town,"import { PiCity } from 'react-icons/pi';"
Village,"import { MdOutlineHolidayVillage } from 'react-icons/md';"
Water View,"import { BsWater } from 'react-icons/bs';"
Waterfront,"import { BsWater } from 'react-icons/bs';"
Cleaning Disinfection,"import { MdOutlineCleaningServices } from 'react-icons/md';"
Cleaning before checkout,"import { MdOutlineCleaningServices } from 'react-icons/md';"
Desk,"import { CiDesktopMouse1 } from 'react-icons/ci';"
Enhanced cleaning practices,"import { IoSparklesOutline } from 'react-icons/io5';"
High touch surfaces disinfected,"import { IoSparklesOutline } from 'react-icons/io5';"
Laptop friendly workspace,"import { CiDesktopMouse1 } from 'react-icons/ci';"
Long term stays allowed,"import { LuClock6 } from 'react-icons/lu';"
Luggage dropoff allowed,"import { MdOutlineLuggage } from 'react-icons/md';"
Casinos,"import { BsCoin } from 'react-icons/bs';"
Cycling,"import { MdOutlineDirectionsBike } from 'react-icons/md';"
Fishing,"import { GiBoatFishing } from 'react-icons/gi';"
Golf - Optional,"import { IoGolfOutline } from 'react-icons/io5';"
Horseback Riding,"import { FaHorseHead } from 'react-icons/fa';"
Mountain Climbing,"import { CgCodeClimate } from 'react-icons/cg';"
Museums,"import { MdOutlineMuseum } from 'react-icons/md';"
Rock Climbing,"import { CgCodeClimate } from 'react-icons/cg';"
Shopping,"import { CiShoppingCart } from 'react-icons/ci';"
Theme Parks,"import { MdOutlinePark } from 'react-icons/md';"
Water Parks,"import { TbWaterpolo } from 'react-icons/tb';"
Water Sports,"import { TbWaterpolo } from 'react-icons/tb';"
Zoo,"import { MdOutlinePets } from 'react-icons/md';"
BBQ grill,"import { MdOutlineOutdoorGrill } from 'react-icons/md';"
Beach essentials,"import { MdOutlineBeachAccess } from 'react-icons/md';"
Bicycles available,"import { MdDirectionsBike } from 'react-icons/md';"
Bikes,"import { MdDirectionsBike } from 'react-icons/md';"
Boat slip,"import { IoBoatOutline } from 'react-icons/io5';"
Doorman,"import { IoMan } from 'react-icons/io5';"
Fire Pit,"import { FaFireFlameCurved } from 'react-icons/fa6';"
Garden or backyard,"import { GiGrass } from 'react-icons/gi';"
Hammock,"import { MdOutlineAirlineSeatReclineExtra } from 'react-icons/md';"
Kayak,"import { MdKayaking } from 'react-icons/md';"
Outdoor kitchen,"import { MdOutlineOutdoorGrill } from 'react-icons/md';"
Outdoor seating (furniture),"import { PiPicnicTable } from 'react-icons/pi';"
River,"import { FaWater } from 'react-icons/fa';"
Free parking on premises,"import { CiParking1 } from 'react-icons/ci';"
Free parking on street,"import { CiParking1 } from 'react-icons/ci';"
Garage,"import { CiParking1 } from 'react-icons/ci';"
Paid parking,"import { CiParking1 } from 'react-icons/ci';"
Paid parking off premises,"import { CiParking1 } from 'react-icons/ci';"
Communal pool,"import { MdOutlinePool } from 'react-icons/md';"
Indoor pool,"import { MdOutlinePool } from 'react-icons/md';"
Outdoor pool,"import { MdOutlinePool } from 'react-icons/md';"
Private pool,"import { MdOutlinePool } from 'react-icons/md';"
Rooftop pool,"import { MdOutlinePool } from 'react-icons/md';"
Swimming pool,"import { MdOutlinePool } from 'react-icons/md';"
Air conditioning,"import { IoSnowOutline } from 'react-icons/io5';"
Bed linens,"import { IoBedOutline } from 'react-icons/io5';"
Cable TV,"import { IoTvOutline } from 'react-icons/io5';"
Dryer,"import { BiSolidDryer } from 'react-icons/bi';"
Elevator,"import { PiElevator } from 'react-icons/pi';"
Essentials,"import { CiStar } from 'react-icons/ci';"
Hair dryer,"import { PiHairDryerLight } from 'react-icons/pi';"
Hangers,"import { BiCloset } from 'react-icons/bi';"
Heating,"import { FaHotjar } from 'react-icons/fa6';"
Indoor fireplace,"import { MdOutlineFireplace } from 'react-icons/md';"
Internet,"import { IoWifiSharp } from 'react-icons/io5';"
Iron,"import { TbIroning2 from 'react-icons/tb';"
Kitchen,"import { GiKitchenTap } from 'react-icons/gi';"
Patio or balcony,"import { MdOutlineDeck } from 'react-icons/md';"
TV,"import { IoTvOutline } from 'react-icons/io5';"
Washer,"import { BiSolidWasher } from 'react-icons/bi';"
Wireless Internet,"import { IoWifiSharp } from 'react-icons/io5';"
Ceiling fan,"import { PiFan } from 'react-icons/pi';"
EV charger,"import { BsLightningCharge } from 'react-icons/bs';"
Extra pillows and blankets,"import { GiPillow } from 'react-icons/gi';"
Pocket Wifi,"import { IoWifiSharp } from 'react-icons/io5';"
Private entrance,"import { MdOutlineSensorDoor } from 'react-icons/md';"
Safe,"import { RiSafeLine } from 'react-icons/ri';"
Stereo system,"import { GiSoundWaves } from 'react-icons/gi';"
Gym,"import { CgGym } from 'react-icons/cg';"
Hot tub,"import { LiaHotTubSolid } from 'react-icons/lia';"
Sauna,"import { MdWorkspacesOutline } from 'react-icons/md';"
Spa,"import { MdWorkspacesOutline } from 'react-icons/md';"