Name,Group
Accessible-height bed,Accessibility
Accessible-height toilet,Accessibility
Disabled parking spot,Accessibility
Grab-rails for shower and toilet,Accessibility
Grab-rails in toilet,Accessibility
Path to entrance lit at night,Accessibility
Roll-in shower with shower bench or chair,Accessibility
Shower bench,Accessibility
Shower chair,Accessibility
Single level home,Accessibility
Step-free access,Accessibility
Tub with shower bench,Accessibility
Wheelchair accessible,Accessibility
Wide clearance to bed,Accessibility
Wide clearance to shower and toilet,Accessibility
Wide doorway,Accessibility
Wide hallway clearance,Accessibility
Body soap,Bathroom
Cleaning products,Bathroom
Conditioner,Bathroom
Hot water,Bathroom
Shampoo,Bathroom
Shower gel,Bathroom
Towels provided,Bathroom
Clothing storage,Bedroom & Laundry
Coin Laundry,Bedroom & Laundry
Dryer in common space,Bedroom & Laundry
Mosquito net,Bedroom & Laundry
Washer in common space,Bedroom & Laundry
Dvd player,Entertainment
Foosball table,Entertainment
Game room,Entertainment
Piano,Entertainment
Ping pong table,Entertainment
Pool table,Entertainment
Sound system,Entertainment
Baby bath,Family
Baby monitor,Family
Babysitter recommendations,Family
Bathtub,Family
Board games,Family
Changing table,Family
Children’s books and toys,Family
Children’s dinnerware,Family
Crib,Family
Family/kid friendly,Family
Fireplace guards,Family
Game console,Family
High chair,Family
Outlet covers,Family
Pack ’n Play/travel crib,Family
Room-darkening shades,Family
Stair gates,Family
Table corner guards,Family
Window guards,Family
Portable fans,Heating & cooling
Carbon monoxide detector,Home Safety
Emergency exit,Home Safety
Fire extinguisher,Home Safety
First aid kit,Home Safety
Smoke detector,Home Safety
Baking sheet,Kitchen & Dining
Barbeque utensils,Kitchen & Dining
Blender,Kitchen & Dining
Breakfast,Kitchen & Dining
Coffee,Kitchen & Dining
Coffee maker,Kitchen & Dining
Cookware,Kitchen & Dining
Dining table,Kitchen & Dining
Dishes and silverware,Kitchen & Dining
Dishwasher,Kitchen & Dining
Freezer,Kitchen & Dining
Ice maker,Kitchen & Dining
Kettle,Kitchen & Dining
Microwave,Kitchen & Dining
Mini fridge,Kitchen & Dining
Oven,Kitchen & Dining
Refrigerator,Kitchen & Dining
Rice maker,Kitchen & Dining
Stove,Kitchen & Dining
Toaster,Kitchen & Dining
Trash compactor,Kitchen & Dining
Wine glasses,Kitchen & Dining
Beach,Location
Beach Front,Location
Beach View,Location
Beach access,Location
City View,Location
Desert View,Location
Downtown,Location
Garden View,Location
Golf course front,Location
Golf view,Location
Lake,Location
Lake Front,Location
Lake access,Location
Laundromat nearby,Location
Mountain,Location
Mountain view,Location
Near Ocean,Location
Ocean Front,Location
Resort,Location
Resort access,Location
Rural,Location
Sea view,Location
Ski In,Location
Ski Out,Location
Ski in/Ski out,Location
Town,Location
Village,Location
Water View,Location
Waterfront,Location
Cleaning Disinfection,Logistics
Cleaning before checkout,Logistics
Desk,Logistics
Enhanced cleaning practices,Logistics
High touch surfaces disinfected,Logistics
Laptop friendly workspace,Logistics
Long term stays allowed,Logistics
Luggage dropoff allowed,Logistics
Casinos,Nearby activities
Cycling,Nearby activities
Fishing,Nearby activities
Golf - Optional,Nearby activities
Horseback Riding,Nearby activities
Mountain Climbing,Nearby activities
Museums,Nearby activities
Rock Climbing,Nearby activities
Shopping,Nearby activities
Theme Parks,Nearby activities
Water Parks,Nearby activities
Water Sports,Nearby activities
Zoo,Nearby activities
BBQ grill,Outdoor
Beach essentials,Outdoor
Bicycles available,Outdoor
Bikes,Outdoor
Boat slip,Outdoor
Doorman,Outdoor
Fire Pit,Outdoor
Garden or backyard,Outdoor
Hammock,Outdoor
Kayak,Outdoor
Outdoor kitchen,Outdoor
Outdoor seating (furniture),Outdoor
River,Outdoor
Free parking on premises,Parking
Free parking on street,Parking
Garage,Parking
Paid parking,Parking
Paid parking off premises,Parking
Communal pool,Pool
Indoor pool,Pool
Outdoor pool,Pool
Private pool,Pool
Rooftop pool,Pool
Swimming pool,Pool
Air conditioning,Popular Amenities
Bed linens,Popular Amenities
Cable TV,Popular Amenities
Dryer,Popular Amenities
Elevator,Popular Amenities
Essentials,Popular Amenities
Hair dryer,Popular Amenities
Hangers,Popular Amenities
Heating,Popular Amenities
Indoor fireplace,Popular Amenities
Internet,Popular Amenities
Iron,Popular Amenities
Kitchen,Popular Amenities
Patio or balcony,Popular Amenities
TV,Popular Amenities
Washer,Popular Amenities
Wireless Internet,Popular Amenities
Ceiling fan,Services & Extras
EV charger,Services & Extras
Extra pillows and blankets,Services & Extras
Pocket Wifi,Services & Extras
Private entrance,Services & Extras
Safe,Services & Extras
Stereo system,Services & Extras
Gym,Wellness
Hot tub,Wellness
Sauna,Wellness
Spa,Wellness